Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
YBK Jaiswal,2020-2025,67,66,3,2166,124,34.38,1417,152.85,2,15,4,258,92,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
KS Williamson,2015-2024,79,77,17,2128,89,35.46,1694,125.61,0,18,2,185,64,investigate this query
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AJ Finch,2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78,investigate this query
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AC Gilchrist,2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92,investigate this query
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
JP Duminy,2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79,investigate this query
"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
MP Stoinis,2016-2025,109,99,27,2026,124*,28.13,1400,144.71,1,9,9,158,106,investigate this query
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MEK Hussey,2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52,investigate this query
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
AR Patel,2014-2025,162,124,37,1916,66,22.02,1430,133.98,0,3,7,130,94,investigate this query
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
PP Shaw,2018-2024,79,79,0,1892,99,23.94,1283,147.46,0,14,7,238,61,investigate this query
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
S Dube,2019-2025,79,75,14,1859,95*,30.47,1294,143.66,0,10,3,108,122,investigate this query
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Abhishek Sharma,2018-2025,77,74,7,1816,141,27.1,1114,163.01,1,9,3,174,101,investigate this query
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
D Padikkal,2020-2025,74,74,3,1806,101*,25.43,1430,126.29,1,11,6,190,56,investigate this query
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39,investigate this query
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
B Sai Sudharsan,2022-2025,40,40,4,1793,108*,49.8,1229,145.89,2,12,0,183,52,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
SP Narine,2012-2025,189,122,21,1780,109,17.62,1069,166.51,1,7,17,189,116,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KH Pandya,2016-2025,142,118,39,1756,86,22.22,1326,132.42,0,2,7,153,65,investigate this query
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Mandeep Singh,2010-2023,111,98,16,1706,77*,20.8,1388,122.91,0,6,15,176,38,investigate this query
"(Delhi Capitals, Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MK Tiwary,2008-2018,98,85,26,1695,75*,28.72,1449,116.97,0,7,8,156,40,investigate this query
"(Delhi Daredevils, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
KK Nair,2013-2025,84,76,5,1694,89,23.85,1286,131.72,0,11,5,185,49,investigate this query
"(Delhi Capitals, Delhi Daredevils, Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KC Sangakkara,2008-2013,71,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27,investigate this query
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JM Bairstow,2019-2025,52,52,4,1674,114,34.87,1146,146.07,2,9,3,173,74,investigate this query
"(Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Parag,2019-2025,84,72,12,1566,95,26.1,1104,141.84,0,7,3,111,87,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
DJ Bravo,2008-2022,161,113,44,1560,70*,22.6,1204,129.56,0,5,5,120,66,investigate this query
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
NV Ojha,2009-2018,113,94,19,1554,94*,20.72,1313,118.35,0,6,8,121,79,investigate this query
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
NT Tilak Varma,2022-2025,54,51,11,1499,84*,37.47,1038,144.41,0,8,1,113,74,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
DJ Hooda,2015-2025,125,101,16,1496,64,17.6,1172,127.64,0,8,5,98,62,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SS Tiwary,2008-2021,93,74,22,1494,61,28.73,1244,120.09,0,8,1,111,50,investigate this query
"(Delhi Daredevils, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SO Hetmyer,2019-2025,86,79,28,1482,75,29.05,976,151.84,0,5,3,93,93,investigate this query
"(Delhi Capitals, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
H Klaasen,2018-2025,49,45,8,1480,105*,40,872,169.72,2,7,1,98,89,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
