Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
UT Khawaja,2016-2016,6,6,0,127,30,21.16,100,127,0,0,0,14,3,investigate this query
(Rising Pune Supergiants),,,,,,,,,,,,,,,
M Morkel,2009-2016,70,23,12,126,23*,11.45,90,140,0,0,5,11,4,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
SS Prabhudessai,2022-2024,11,10,0,126,34,12.6,106,118.86,0,0,1,11,4,investigate this query
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MC Juneja,2013-2013,7,7,0,125,49,17.85,128,97.65,0,0,0,11,1,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
BB Samantray,2012-2013,9,8,3,125,55,25,113,110.61,0,1,1,13,2,investigate this query
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MM Sharma,2013-2025,120,33,15,125,21*,6.94,136,91.91,0,0,5,8,4,investigate this query
"(Chennai Super Kings, Delhi Capitals, Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,,
Arshad Khan,2023-2025,19,12,6,124,58*,20.66,88,140.9,0,1,1,6,9,investigate this query
"(Gujarat Titans, Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
B Lee,2008-2013,38,19,9,124,25,12.4,97,127.83,0,0,1,8,8,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Harpreet Singh,2010-2024,9,8,1,123,41,17.57,119,103.36,0,0,0,10,3,investigate this query
"(Kolkata Knight Riders, Pune Warriors, Punjab Kings)",,,,,,,,,,,,,,,
AB McDonald,2009-2013,11,9,4,123,33*,24.6,100,123,0,0,1,9,4,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
NK Patel,2008-2009,9,6,2,121,57,30.25,119,101.68,0,1,0,14,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
DL Vettori,2008-2012,34,17,9,121,29,15.12,113,107.07,0,0,1,11,2,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AC Blizzard,2011-2012,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
TG Southee,2011-2023,54,20,7,120,36*,9.23,107,112.14,0,0,3,8,4,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DL Chahar,2016-2025,95,17,9,117,39,14.62,84,139.28,0,0,4,5,8,investigate this query
"(Chennai Super Kings, Mumbai Indians, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
RJ Harris,2009-2013,37,21,9,117,17,9.75,112,104.46,0,0,2,6,3,investigate this query
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
Z Khan,2008-2017,100,32,18,117,23*,8.35,141,82.97,0,0,5,11,2,investigate this query
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,8,8,1,117,47*,16.71,81,144.44,0,0,2,10,6,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
MW Short,2023-2023,6,6,0,117,36,19.5,92,127.17,0,0,0,15,4,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
KK Cooper,2012-2014,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Aman Hakim Khan,2022-2023,12,10,1,115,51,12.77,104,110.57,0,1,1,8,6,investigate this query
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
DJM Short,2018-2018,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
M Kartik,2008-2014,56,16,9,113,21,16.14,108,104.62,0,0,1,7,1,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Mohammed Siraj,2017-2025,108,26,16,112,14*,11.2,123,91.05,0,0,2,10,4,investigate this query
"(Gujarat Titans, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Harris,2012-2012,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
MA Starc,2014-2025,52,23,12,111,29,10.09,119,93.27,0,0,3,11,0,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MJ Santner,2019-2025,31,19,11,110,22,13.75,104,105.76,0,0,1,6,6,investigate this query
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
JDP Oram,2008-2013,18,12,4,106,41*,13.25,108,98.14,0,0,1,6,5,investigate this query
"(Chennai Super Kings, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
LJ Wright,2012-2013,7,6,1,106,44,21.2,60,176.66,0,0,0,16,3,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
DS Kulkarni,2008-2021,92,23,14,104,28*,11.55,108,96.29,0,0,0,7,2,investigate this query
"(Gujarat Lions, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
RJ Quiney,2009-2009,7,7,0,103,51,14.71,102,100.98,0,1,0,12,3,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Azmatullah Omarzai,2024-2025,16,9,1,99,21*,12.37,74,133.78,0,0,0,8,5,investigate this query
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
SD Chitnis,2008-2012,11,8,1,99,38,14.14,89,111.23,0,0,0,10,2,investigate this query
"(Kings XI Punjab, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
MS Gony,2008-2017,44,17,7,99,42,9.9,71,139.43,0,0,3,6,8,investigate this query
"(Chennai Super Kings, Deccan Chargers, Gujarat Lions, Kings XI Punjab)",,,,,,,,,,,,,,,
MJ Clarke,2012-2012,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
CJ Ferguson,2011-2012,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
PN Mankad,2022-2023,6,6,3,97,64*,32.33,73,132.87,0,1,1,13,2,investigate this query
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
DJ Jacobs,2011-2012,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
PHKD Mendis,2025-2025,5,5,2,92,32*,30.66,69,133.33,0,0,1,7,2,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JDS Neesham,2014-2022,14,10,1,92,22,10.22,93,98.92,0,0,2,6,2,investigate this query
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
PR Shah,2008-2011,16,10,2,92,29,11.5,91,101.09,0,0,1,9,2,investigate this query
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
RT Ponting,2008-2013,10,9,0,91,28,10.11,128,71.09,0,0,3,5,2,investigate this query
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
S Rana,2011-2014,11,8,4,91,19*,22.75,81,112.34,0,0,0,9,1,investigate this query
"(Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AJ Tye,2017-2022,30,13,4,91,25,10.11,76,119.73,0,0,2,6,5,investigate this query
"(Gujarat Lions, Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
AD Nath,2016-2019,14,10,0,90,24,9,98,91.83,0,0,1,7,2,investigate this query
"(Gujarat Lions, Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Iqbal Abdulla,2008-2017,49,13,11,88,33*,44,84,104.76,0,0,1,9,1,investigate this query
"(Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SL Malinga,2009-2019,122,25,9,88,17,5.5,99,88.88,0,0,6,6,5,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Ankit Sharma,2012-2018,22,10,3,87,30,12.42,67,129.85,0,0,1,7,4,investigate this query
"(Deccan Chargers, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AP Majumdar,2012-2012,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
TA Boult,2015-2025,120,29,20,85,17*,9.44,81,104.93,0,0,3,5,3,investigate this query
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MJ McClenaghan,2015-2019,56,24,11,85,20,6.53,70,121.42,0,0,6,5,7,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Mohammed Shami,2013-2025,119,29,15,84,21,6,89,94.38,0,0,4,7,2,investigate this query
"(Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RE Levi,2012-2012,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
NM Coulter-Nile,2013-2022,39,17,6,82,24*,7.45,72,113.88,0,0,0,7,4,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
LA Carseldine,2009-2009,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
PW Hasaranga,2021-2025,37,19,4,81,18,5.4,88,92.04,0,0,5,7,1,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CJ Jordan,2016-2023,34,13,3,81,30,8.1,77,105.19,0,0,1,3,3,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Shahid Afridi,2008-2008,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
WPUJC Vaas,2008-2010,13,11,3,81,20,10.12,73,110.95,0,0,3,2,3,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
RV Patel,2021-2023,9,7,2,80,23,16,73,109.58,0,0,0,6,2,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
AD Mascarenhas,2008-2013,13,11,2,79,27,8.77,78,101.28,0,0,2,5,1,investigate this query
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
JR Philippe,2020-2020,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
CR Woakes,2017-2021,21,12,6,78,18,13,77,101.29,0,0,0,7,2,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
B Akhil,2008-2011,15,11,5,76,27*,12.66,55,138.18,0,0,2,5,5,investigate this query
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
IR Jaggi,2011-2017,7,7,2,76,28,15.2,97,78.35,0,0,0,6,0,investigate this query
"(Deccan Chargers, Kolkata Knight Riders)",,,,,,,,,,,,,,,
TR Birt,2011-2011,5,5,0,75,27,15,58,129.31,0,0,0,9,2,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
M Klinger,2011-2011,4,4,0,73,29,18.25,77,94.8,0,0,0,9,0,investigate this query
(Kochi Tuskers Kerala),,,,,,,,,,,,,,,
RR Sarwan,2008-2008,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
LH Ferguson,2017-2025,49,11,8,72,24*,24,47,153.19,0,0,1,7,2,investigate this query
"(Gujarat Titans, Kolkata Knight Riders, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SK Rasheed,2025-2025,5,5,0,71,27,14.2,63,112.69,0,0,1,9,2,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
J Suchith,2015-2022,22,10,6,70,34*,17.5,61,114.75,0,0,1,6,3,investigate this query
"(Delhi Capitals, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AA Bilakhia,2009-2010,7,7,2,69,22,13.8,85,81.17,0,0,0,5,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
Vivrant Sharma,2023-2023,3,1,0,69,69,69,47,146.8,0,1,0,9,2,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JJ Bumrah,2013-2025,145,31,24,68,16*,9.71,79,86.07,0,0,5,5,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
UM Patel,2025-2025,3,3,0,68,37,22.66,32,212.5,0,0,1,5,6,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
JG Bethell,2025-2025,2,2,0,67,55,33.5,39,171.79,0,1,0,9,3,investigate this query
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
RR Powar,2008-2012,27,10,7,67,28*,22.33,64,104.68,0,0,1,6,1,investigate this query
"(Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
R Sharma,2010-2014,44,20,6,66,14*,4.71,75,88,0,0,8,5,3,investigate this query
"(Deccan Chargers, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
HR Shokeen,2022-2023,13,6,3,66,25,22,65,101.53,0,0,0,9,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
KA Jamieson,2021-2025,13,9,5,65,16*,16.25,60,108.33,0,0,0,5,3,investigate this query
"(Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
WD Parnell,2011-2023,33,14,4,65,16,6.5,80,81.25,0,0,0,4,1,investigate this query
"(Delhi Daredevils, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
GD Phillips,2021-2023,8,8,1,65,25,9.28,55,118.18,0,0,1,3,6,investigate this query
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,8,8,1,64,16,9.14,83,77.1,0,0,0,7,2,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Anirudh Singh,2010-2010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
Avesh Khan,2017-2025,76,14,11,62,19*,20.66,37,167.56,0,0,1,6,4,investigate this query
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Flintoff,2009-2009,3,3,1,62,24,31,53,116.98,0,0,0,5,2,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
SP Jackson,2017-2022,9,8,2,61,16,10.16,57,107.01,0,0,1,5,1,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Sandeep Sharma,2013-2025,137,28,22,60,9,10,75,80,0,0,4,4,0,investigate this query
"(Kings XI Punjab, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Aravind,2011-2017,38,12,8,59,14*,14.75,57,103.5,0,0,2,7,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Harshit Rana,2022-2025,34,10,4,59,34,9.83,56,105.35,0,0,1,5,3,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
MG Bracewell,2023-2023,5,4,2,58,26,29,47,123.4,0,0,0,6,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
I Sharma,2008-2025,117,28,22,57,10*,9.5,69,82.6,0,0,1,4,2,investigate this query
"(Deccan Chargers, Delhi Capitals, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
WA Mota,2008-2009,12,8,2,56,25,9.33,75,74.66,0,0,0,2,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Vishnu Vinod,2017-2023,6,6,0,56,30,9.33,57,98.24,0,0,0,3,3,investigate this query
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
M Rawat,2008-2013,18,12,7,55,23*,11,69,79.71,0,0,1,4,1,investigate this query
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
PVD Chameera,2022-2025,19,11,7,53,17,13.25,42,126.19,0,0,2,3,3,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants)",,,,,,,,,,,,,,,
A Chopra,2008-2009,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DJ Willey,2018-2023,11,5,3,53,20*,26.5,62,85.48,0,0,1,7,0,investigate this query
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Shoaib Malik,2008-2008,7,5,1,52,24,13,47,110.63,0,0,0,5,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
RP Singh,2008-2016,82,30,15,52,10,3.46,76,68.42,0,0,5,2,1,investigate this query
"(Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KB Arun Karthik,2010-2013,17,8,3,51,19*,10.2,51,100,0,0,1,4,1,investigate this query
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Rampaul,2013-2014,12,7,2,51,23*,10.2,50,102,0,0,3,3,2,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Shivam Mavi,2018-2022,32,12,3,51,20,5.66,56,91.07,0,0,3,4,2,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
OF Smith,2022-2022,6,6,3,51,25*,17,44,115.9,0,0,1,1,5,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
Swapnil Singh,2016-2024,14,9,4,51,15*,10.2,45,113.33,0,0,2,3,3,investigate this query
"(Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
VR Aaron,2011-2022,52,13,8,50,17*,10,72,69.44,0,0,1,2,2,investigate this query
"(Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RV Gomez,2011-2013,13,9,4,50,26*,10,51,98.03,0,0,3,5,1,investigate this query
"(Kochi Tuskers Kerala, Pune Warriors)",,,,,,,,,,,,,,,
SB Bangar,2008-2009,12,8,1,49,17*,7,58,84.48,0,0,1,1,3,investigate this query
"(Deccan Chargers, Kolkata Knight Riders)",,,,,,,,,,,,,,,
A Nortje,2020-2025,48,17,11,49,23*,8.16,49,100,0,0,2,6,0,investigate this query
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
AG Paunikar,2010-2011,5,5,0,49,20,9.8,58,84.48,0,0,1,9,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
AS Yadav,2008-2008,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
T Kohler-Cadmore,2024-2024,4,3,0,48,20,16,54,88.88,0,0,0,7,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
M Markande,2018-2024,37,11,8,48,18*,16,42,114.28,0,0,0,5,1,investigate this query
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
C Bosch,2025-2025,3,2,0,47,27,23.5,32,146.87,0,0,0,3,3,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Yashpal Singh,2009-2009,8,4,0,47,20,11.75,66,71.21,0,0,0,5,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Ravi Bishnoi,2020-2025,77,18,8,45,13,4.5,66,68.18,0,0,2,2,2,investigate this query
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
D Pretorius,2022-2023,7,5,1,44,22,11,28,157.14,0,0,1,3,3,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
DR Sams,2020-2022,16,13,4,44,15,4.88,44,100,0,0,3,1,3,investigate this query
"(Delhi Capitals, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Sunny Singh,2011-2011,6,5,1,43,20,10.75,31,138.7,0,0,0,6,1,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
AB Barath,2010-2010,3,3,1,42,33,21,42,100,0,0,0,5,1,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
SK Trivedi,2008-2013,76,15,8,42,9,6,59,71.18,0,0,1,3,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
A Nehra,2008-2017,88,22,15,41,22*,5.85,62,66.12,0,0,5,3,1,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Mumbai Indians, Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BR Dunk,2014-2014,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Rasikh Salam,2019-2025,13,6,1,40,10,8,40,100,0,0,0,5,0,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
LPC Silva,2008-2008,3,3,1,40,23*,20,26,153.84,0,0,1,5,1,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
J Yadav,2015-2023,20,5,1,40,23,10,36,111.11,0,0,0,2,1,investigate this query
"(Delhi Daredevils, Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
S Nadeem,2011-2021,72,22,8,39,6*,2.78,87,44.82,0,0,6,2,0,investigate this query
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MM Patel,2008-2017,63,15,9,39,23*,6.5,41,95.12,0,0,5,5,0,investigate this query
"(Gujarat Lions, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
AUK Pathan,2011-2012,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
DJ Thornely,2008-2008,6,4,2,39,30,19.5,53,73.58,0,0,0,2,2,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Umar Gul,2008-2008,6,4,1,39,24,13,19,205.26,0,0,0,1,5,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
YS Chahal,2013-2025,174,20,13,37,8*,5.28,86,43.02,0,0,1,0,0,investigate this query
"(Mumbai Indians, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
S Narwal,2010-2013,7,4,1,37,23,12.33,27,137.03,0,0,1,6,0,investigate this query
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
AN Ahmed,2010-2015,17,6,5,36,18*,36,26,138.46,0,0,0,4,1,investigate this query
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Anureet Singh,2009-2018,23,8,4,36,15,9,47,76.59,0,0,2,2,1,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
L Balaji,2008-2014,73,15,7,36,15,4.5,49,73.46,0,0,5,2,1,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Joginder Sharma,2008-2011,16,6,2,36,16*,9,30,120,0,0,2,1,2,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
KW Richardson,2013-2021,15,4,1,36,26,12,39,92.3,0,0,0,2,1,investigate this query
"(Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Sohail Tanvir,2008-2008,11,5,2,36,13,12,29,124.13,0,0,0,3,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
M Ashwin,2016-2023,44,13,4,35,9,3.88,50,70,0,0,2,2,1,investigate this query
"(Kings XI Punjab, Mumbai Indians, Punjab Kings, Rajasthan Royals, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Kumble,2008-2010,42,17,14,35,8,11.66,47,74.46,0,0,0,3,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
B Sumanth,2010-2010,5,4,3,35,16,35,37,94.59,0,0,0,3,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
AP Dole,2010-2010,3,2,0,34,30,17,22,154.54,0,0,0,3,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
A Mithun,2009-2013,16,8,3,34,11,6.8,26,130.76,0,0,1,4,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
L Ronchi,2008-2009,5,5,0,34,13,6.8,34,100,0,0,1,6,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
S Sreesanth,2008-2013,44,14,10,34,15*,8.5,55,61.81,0,0,3,6,0,investigate this query
"(Kings XI Punjab, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,,
Imran Tahir,2014-2021,59,9,5,33,13*,8.25,37,89.18,0,0,0,5,0,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiant)",,,,,,,,,,,,,,,
NA Saini,2019-2023,32,7,3,33,12*,8.25,37,89.18,0,0,0,3,0,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
D Salunkhe,2008-2008,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Basil Thampi,2017-2022,25,8,7,32,13*,32,35,91.42,0,0,0,1,1,investigate this query
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AT Carey,2020-2020,3,3,1,32,14*,16,29,110.34,0,0,0,0,1,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
RJ Peterson,2012-2012,5,5,2,32,16*,10.66,30,106.66,0,0,1,3,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Arshdeep Singh,2019-2025,82,14,8,31,10*,5.16,46,67.39,0,0,3,4,0,investigate this query
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
G Coetzee,2024-2025,14,7,1,31,12,5.16,33,93.93,0,0,1,2,2,investigate this query
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
NS Naik,2016-2020,4,4,0,31,22,7.75,50,62,0,0,0,2,0,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
S Sriram,2010-2011,2,2,0,31,27,15.5,36,86.11,0,0,0,3,0,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
T Taibu,2008-2008,3,3,0,31,15,10.33,26,119.23,0,0,0,3,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
